"date","close","volume","open","high","low"

"2015/01/30","104.4200","6998219.0000","106.3600","106.8600","104.3800"
"2015/01/29","107.6200","6529239.0000","105.1400","107.7400","104.5100"
"2015/01/28","104.7400","4917293.0000","105.3100","107.4300","104.6000"
"2015/01/27","105.1600","4605380.0000","104.7800","105.8137","104.4000"
"2015/01/26","106.3600","4191684.0000","105.3600","106.5000","105.0600"
"2015/01/23","105.3700","4075836.0000","106.2100","106.4800","105.3100"
"2015/01/22","106.0700","5801770.0000","104.3800","106.3100","103.5400"
"2015/01/21","103.5300","5899195.0000","103.0500","104.0600","102.5000"
"2015/01/20","103.2500","5335516.0000","104.8400","104.9500","102.3500"
"2015/01/16","104.1200","6403231.0000","100.8600","104.3100","100.2400"
"2015/01/15","101.0100","6894309.0000","103.3200","103.6500","100.8200"
"2015/01/14","102.6400","5384438.0000","102.4200","103.4100","101.8800"
"2015/01/13","103.7300","5394401.0000","105.4100","106.0400","103.1500"
"2015/01/12","104.4200","4992830.0000","105.1700","105.2900","104.0600"
"2015/01/09","104.8900","5717459.0000","106.8800","106.8800","104.8200"
"2015/01/08","106.7200","6467399.0000","105.3700","106.9900","105.0200"
"2015/01/07","104.4100","5089901.0000","102.2900","104.4700","101.9950"
"2015/01/06","100.9500","4912939.0000","102.0700","102.0700","100.3400"
"2015/01/05","101.2600","5878149.0000","102.7800","102.7800","100.7900"
"2015/01/02","103.4300","4324195.0000","105.1600","105.6548","102.6700"
"2014/12/31","104.9700","5821181.0000","104.7500","106.0200","104.5600"
"2014/12/30","104.2700","2924470.0000","104.4400","104.7400","103.8500"
"2014/12/29","104.5300","3488956.0000","103.5800","104.8000","103.2610"
"2014/12/26","103.7500","2594775.0000","103.9800","104.3202","103.4800"
"2014/12/24","103.5600","1819047.0000","104.0500","104.3792","103.5600"
"2014/12/23","103.7600","4067319.0000","103.6600","104.2000","103.3200"
"2014/12/22","103.5000","5383382.0000","102.2500","103.5700","102.2300"
"2014/12/19","101.9300","12489180.0000","100.9200","102.0000","100.8100"
"2014/12/18","100.6700","6585262.0000","100.3400","100.6900","99.3000"
