"date","close","volume","open","high","low"

"2015/01/30","441.8000","1886889.0000","441.9300","447.8900","438.5902"
"2015/01/29","443.8000","2159472.0000","442.4300","447.4900","437.5000"
"2015/01/28","442.4600","3497924.0000","453.1900","453.7500","441.5700"
"2015/01/27","454.1700","3512238.0000","441.6100","457.3800","441.3500"
"2015/01/26","446.5600","3035802.0000","438.0000","447.2900","433.7000"
"2015/01/23","437.4550","3823347.0000","426.9200","439.2000","426.1700"
"2015/01/22","428.4400","4753759.0000","410.0000","429.6200","404.8000"
"2015/01/21","409.2800","9551075.0000","414.6400","414.6800","401.8700"
"2015/01/20","348.8000","5474710.0000","340.0000","350.0000","334.0000"
"2015/01/16","337.3400","2812850.0000","328.0000","337.7500","324.6700"
"2015/01/15","323.7600","1667724.0000","325.8300","327.5000","320.9100"
"2015/01/14","324.2400","2839727.0000","329.5000","331.5900","319.7600"
"2015/01/13","323.7900","2675082.0000","322.1500","329.3376","321.3000"
"2015/01/12","318.8300","1848660.0000","329.6300","330.3900","316.8500"
"2015/01/09","329.2900","1367762.0000","333.4200","336.1400","328.2900"
"2015/01/08","334.4550","1374635.0000","329.8400","334.8500","325.3500"
"2015/01/07","327.2000","1404641.0000","331.4300","331.9500","323.9000"
"2015/01/06","325.5100","2283525.0000","331.4300","333.4800","319.6300"
"2015/01/05","331.1800","2586813.0000","344.8100","344.8100","330.0305"
"2015/01/02","348.9400","1903167.0000","344.0600","352.3200","341.1200"
"2014/12/31","341.6100","1226102.0000","343.2300","345.7400","341.5100"
"2014/12/30","343.2300","1001077.0000","341.0000","343.9800","339.7720"
"2014/12/29","341.9300","1227041.0000","335.7900","343.7300","333.5700"
"2014/12/26","340.0500","1263325.0000","341.9100","346.3895","339.7400"
"2014/12/24","342.1000","773201.0000","336.5100","343.4900","335.9900"
"2014/12/23","336.4300","1186852.0000","338.0100","338.9952","332.3100"
"2014/12/22","336.6800","1143226.0000","339.8000","344.6800","334.2400"
"2014/12/19","340.1200","2134735.0000","335.3000","341.0400","333.3500"
"2014/12/18","334.4200","2231626.0000","338.8000","342.5000","330.6300"
